Subject info,Project,Project 1,,,,,
,First Name,,,,,,
,Last Name,Kehlin trial,,,,,
,Sex,Male,,,,,
,Date of birth,,,,,,
,,,,,,,
Record info,Name,Homer Technique,,,,,
,Date Measured,6/15/2018 10:51,,,,,
,Number of periods,1,,,,,
,,,,,,,
Analyzed Signal,"Time, s",,"TIB.ANT. RT, uV","PERONEUS RT, uV","LAT. GASTRO RT, uV","MED. GASTRO RT, uV","Homer Technique, phases"
,119.802,,-5.54308,1.02465,-5.9562,4.61971,1
,119.8027,,-4.01144,1.97048,-3.5214,-0.28429,1
,119.8033,,-4.01144,-2.36458,-6.55987,5.82794,1
,119.804,,-4.01144,-7.48782,-15.4137,10.0923,1
,119.8047,,-2.4798,-10.8771,-10.2221,-2.41646,1
,119.8053,,-0.656417,-11.8229,10.524,-5.75687,1
,119.806,,-0.656417,-7.48782,18.1503,4.61971,1
,119.8067,,-2.77154,-1.73402,6.86171,0.355362,1
,119.8073,,-3.06328,4.96561,-1.69027,-10.0212,1
,119.808,,-0.948158,22.3847,0.462813,3.05612,1
,119.8087,,-2.4798,38.5426,-0.160978,29.6372,1
,119.8093,,-5.83482,25.1433,-5.35253,43.9938,1
,119.81,,-4.88666,-4.49269,-9.01479,40.2981,1
,119.8107,,-4.01144,-16.0791,-9.9203,39.7295,1
,119.8113,,-6.4183,-14.818,-2.59578,54.3704,1
,119.812,,-7.07472,-16.9461,7.78733,50.3904,1
,119.8127,,-3.7197,-11.8229,-3.82324,7.39153,1
,119.8133,,-3.06328,0.0788192,-25.495,-24.0936,1
,119.814,,-4.01144,1.33993,-16.943,-14.2856,1
,119.8147,,-2.4798,-9.93122,7.16354,3.41148,1
,119.8153,,-0.656417,-21.5176,6.55987,7.03617,1
,119.816,,-1.89632,-22.4635,-6.55987,1.2793,1
,119.8167,,-2.4798,-10.8771,-8.69284,-17.9813,1
,119.8173,,0.291741,0.709373,-8.08917,-21.606,1
